num_features,ols,Ridge (alpha=0.8),Ridge (alpha=0.9),Ridge (alpha=1.0),Ridge (alpha=1.1),Ridge (alpha=1.2)
1,5.648123956481102,6.039102682177777,6.094451482007502,6.151037779408609,6.207166858755984,6.262480566970822
2,5.64961898732563,6.000792239235916,6.042306304470871,6.083963336492094,6.1258393024927305,6.16628306651858
3,5.294604150923641,5.586831563878462,5.626370722781285,5.664527731154216,5.701899311370692,5.740607296259477
5,5.186647915058461,5.394582059124138,5.425233260108967,5.454557532030936,5.483065074320415,5.510685952400262
7,4.552602828909845,4.644975650427967,4.66073607079981,4.676565148285307,4.691735007240925,4.706324121993348
11,4.2713170448037605,4.453293176230433,4.469400842390427,4.485018434173929,4.5000860687341016,4.515090363258029
17,4.282175573321112,4.425008495076797,4.440361691693634,4.455348034742857,4.469516238219586,4.482868090245969
25,3.622529492235088,3.7366523294817284,3.754202154400036,3.771664249940203,3.7887139443418207,3.8059324356466986
38,3.648131590050165,3.7482149447083573,3.760521053538191,3.7727209635233954,3.7843997727690857,3.7951901553068956
57,3.4959460444141093,3.5669022530577004,3.57912117746415,3.5912807577778585,3.6035076394094756,3.6150170976902047
86,3.440125678460128,3.4974647669717056,3.5142597542237746,3.5307884777782554,3.547008763813029,3.56220673796186
129,3.5087499546991094,3.4542934762001183,3.470275698073418,3.4871253804321705,3.5027911780544856,3.5183820974769042
194,3.7468606397762794,3.3345594905393767,3.3420935194786914,3.351988244778864,3.361710581087625,3.3714333164210863
291,3.997765388659086,3.291677688161243,3.29723883409275,3.302802786978074,3.3086178640386916,3.315441737720288
437,4.8302924181646745,3.193830462512557,3.1969800754552593,3.2022747110080365,3.207924719152418,3.213984545982157
656,10.19140758749532,2.9527846028069153,2.9503813015250664,2.9511472019932756,2.9525394551408635,2.9548249886861693
985,6.049499218615591,2.8641082567801353,2.851718565717484,2.8464331797358557,2.844518190526837,2.843917922450931
1477,4.301930192964375,2.809829148697947,2.7921546932845205,2.7802673057306926,2.7739290353566814,2.77130945248389
2216,3.2754573785059544,2.8108578103147117,2.8024662452840605,2.7950885191898522,2.7887461803729456,2.784623698166543
3325,2.9304624123721412,2.7630818921492493,2.7616018086044902,2.760722477749113,2.76038387805877,2.760458816350099
4987,2.699263908746889,2.658929202695865,2.6603373280607134,2.6620271128631194,2.6637136926537055,2.6653959642865233
7481,2.800918447057613,2.7757062845221974,2.774684012687051,2.773804081867597,2.7731611013057953,2.7729537382036935
11222,2.7403158832488614,2.7446091332760276,2.745524423999523,2.7464377930317445,2.7473667910419,2.7483939800290904
16834,2.889574909996478,2.89292437107581,2.89347621016362,2.8941280563913394,2.8949163667248787,2.8957329682002735
25251,2.9387221210266956,2.9453189196659246,2.9461491543873395,2.946973767762646,2.9479082145624034,2.948894588252293
37876,3.1132393085259618,3.1183337796794,3.118949691518909,3.1195633363914523,3.1201747672825024,3.1207840351133744
56815,3.2499108013994618,3.2543497797756284,3.2549484841723864,3.2555459578654364,3.2561422118923913,3.2567372570876536
85222,3.3881070279297223,3.3922064158699214,3.3927266622009826,3.393246612220001,3.3937662661092327,3.394285624050015
127834,3.532187235845016,3.5354137078962307,3.5358352703716207,3.536256624352466,3.5366777701763046,3.5370987081783745
